order_id,customer_id,product_category,price_inr,discount_pct,payment_method,customer_tenure_days,num_previous_orders,num_previous_returns,delivery_distance_km,delivery_days,is_weekend_order,rating_given,returned
1,46631,Footwear,3349.36,21.7,Prepaid_Card,18,3,0,447.4,6,1,4.0,0
2,71592,Electronics,18328.06,5.7,COD,115,4,0,152.2,11,0,2.0,1
3,83375,Beauty,363.91,47.3,Prepaid_Card,113,3,1,274.0,5,0,2.0,1
4,93426,Footwear,5950.35,45.9,COD,1634,35,3,151.4,1,0,4.0,1
5,93296,Apparel,725.76,0.0,COD,105,0,0,145.4,6,1,3.0,0
6,85078,Beauty,877.63,22.5,Prepaid_Card,113,1,0,348.4,5,1,4.0,0
7,43814,Footwear,1797.54,29.9,Prepaid_UPI,15,2,0,237.1,5,1,5.0,0
8,33879,Footwear,5493.68,26.2,Prepaid_UPI,507,12,0,348.8,4,1,3.0,0
9,52823,Apparel,1991.93,41.2,Prepaid_UPI,724,18,3,208.4,6,0,5.0,1
10,41015,Electronics,23409.16,38.3,Prepaid_UPI,255,9,1,108.3,4,0,4.0,0
11,73390,Electronics,47815.73,23.7,Prepaid_UPI,161,3,0,273.9,5,1,2.0,0
12,97799,Beauty,300.43,51.9,Prepaid_UPI,65,2,0,296.8,5,0,1.0,0
13,96461,Home,13458.22,33.1,COD,50,0,0,190.3,5,1,,0
14,51761,Footwear,832.35,15.1,Prepaid_Card,153,10,1,208.4,4,0,2.0,0
15,51719,Electronics,20165.4,12.3,COD,1003,21,3,121.1,7,0,5.0,0
16,87264,Apparel,466.11,37.4,COD,18,2,0,81.4,7,0,2.0,0
17,69829,Home,14985.05,8.9,COD,1333,28,1,324.2,8,0,1.0,0
18,12810,Apparel,2315.94,14.3,Prepaid_UPI,27,0,0,103.5,5,1,5.0,0
19,29930,Footwear,3716.39,16.6,Prepaid_UPI,1967,43,5,269.9,5,0,4.0,0
20,12930,Home,3658.75,25.0,Wallet,24,0,0,364.4,5,1,1.0,0
21,15223,Footwear,2022.28,17.3,Wallet,122,0,0,299.3,3,0,2.0,0
22,24977,Electronics,23027.62,1.6,Prepaid_UPI,480,14,2,335.4,6,1,2.0,0
23,50916,Beauty,1069.92,36.3,COD,261,7,2,425.8,4,1,4.0,1
24,34525,Beauty,210.74,14.3,Prepaid_UPI,187,1,0,63.6,6,0,4.0,0
25,63397,Footwear,4109.41,48.3,Prepaid_UPI,2600,59,3,298.0,2,0,4.0,0
26,89604,Apparel,1668.87,24.3,Prepaid_UPI,1368,32,6,242.9,6,1,4.0,0
27,18242,Electronics,45311.22,37.7,COD,354,5,0,240.8,7,0,5.0,0
28,22900,Apparel,1375.24,28.8,COD,124,3,0,298.6,3,0,4.0,1
29,62003,Apparel,1091.12,38.4,Wallet,411,12,0,89.1,4,1,4.0,1
30,83888,Footwear,3313.34,28.0,COD,94,0,0,462.4,4,1,,0
31,68083,Footwear,1570.82,23.3,COD,174,5,1,281.5,4,1,3.0,0
32,72240,Beauty,1932.79,35.3,Prepaid_Card,336,8,1,58.9,7,0,2.0,0
33,93547,Electronics,38731.61,54.8,COD,341,13,4,312.6,5,0,3.0,0
34,52250,Electronics,8519.62,16.2,COD,255,7,1,62.9,3,0,3.0,1
35,35869,Electronics,16600.78,31.1,Wallet,1106,23,1,365.1,3,1,5.0,0
36,57207,Apparel,2215.77,19.9,Prepaid_UPI,105,1,0,360.5,1,1,2.0,0
37,84201,Apparel,1436.89,27.1,Wallet,377,14,2,103.7,3,0,2.0,0
38,62213,Electronics,27060.0,20.6,COD,255,4,3,70.1,2,1,2.0,1
39,96850,Apparel,1903.18,0.0,COD,199,6,1,290.7,2,0,,0
40,37395,Home,8879.45,17.2,Prepaid_Card,10,0,0,64.2,4,1,3.0,0
41,69456,Electronics,4409.41,34.0,Prepaid_Card,276,9,0,190.1,2,1,1.0,0
42,81734,Footwear,4921.79,9.3,COD,285,9,0,498.4,4,0,2.0,0
43,54378,Footwear,5575.6,32.9,Prepaid_UPI,1440,31,0,200.9,5,0,5.0,0
44,25101,Electronics,3610.58,22.6,Wallet,427,8,4,356.1,5,0,,0
45,92519,Footwear,1166.87,17.3,Prepaid_Card,174,2,0,437.1,5,1,5.0,0
46,24989,Footwear,4360.86,32.7,COD,426,4,2,403.7,1,1,1.0,0
47,57980,Electronics,30619.22,29.5,COD,25,0,0,247.5,4,1,4.0,0
48,65582,Apparel,1172.41,25.9,COD,163,3,0,132.1,7,1,3.0,1
49,28579,Footwear,3465.87,34.2,COD,149,0,0,437.7,9,1,,1
50,38829,Apparel,1862.18,22.8,Prepaid_Card,330,1,0,5.0,6,0,2.0,0
51,66054,Apparel,1434.62,0.0,Prepaid_Card,678,15,6,32.9,5,1,5.0,0
52,11252,Apparel,651.4,14.7,Prepaid_Card,553,13,6,83.6,3,1,4.0,0
53,78454,Footwear,991.9,0.0,Prepaid_UPI,252,6,0,241.6,7,0,,0
54,67843,Home,6863.45,29.2,COD,403,5,0,488.6,4,1,,1
55,77356,Footwear,5575.87,32.5,COD,72,2,0,428.0,4,1,,0
56,82470,Footwear,3567.79,33.2,COD,97,1,0,192.9,7,0,,1
57,81438,Electronics,18552.78,26.8,COD,404,11,1,364.9,1,0,3.0,0
58,69819,Home,13676.24,33.6,Prepaid_Card,56,0,0,216.0,4,0,2.0,0
59,49818,Apparel,1185.56,0.0,Prepaid_UPI,117,6,0,171.5,2,1,3.0,0
60,52680,Apparel,1444.66,18.5,Prepaid_UPI,310,11,4,297.2,6,1,3.0,1
61,74112,Home,2189.24,0.2,Prepaid_Card,163,3,1,197.3,8,1,1.0,1
62,72173,Electronics,37132.65,15.0,Prepaid_Card,110,3,1,284.3,5,1,5.0,0
63,17961,Home,10654.39,42.6,COD,201,6,1,383.3,8,1,3.0,0
64,49595,Footwear,4868.34,35.3,Prepaid_Card,186,1,0,321.1,5,0,2.0,0
65,77225,Home,5215.27,29.3,COD,76,0,0,101.6,7,1,5.0,0
66,67920,Home,6822.77,17.5,Prepaid_UPI,39,1,0,145.9,1,1,5.0,0
67,14743,Home,2940.95,6.1,Prepaid_Card,645,20,0,493.9,5,0,2.0,0
68,47524,Electronics,48260.74,22.6,COD,1115,21,2,366.6,2,0,1.0,0
69,84309,Apparel,535.07,35.5,COD,962,26,1,247.4,5,0,2.0,0
70,75783,Electronics,32801.65,25.7,COD,63,0,0,176.8,4,0,1.0,0
71,20046,Apparel,1866.3,0.0,Wallet,808,17,4,358.5,4,1,,1
72,95942,Electronics,8729.09,21.5,COD,32,4,0,160.4,4,0,4.0,1
73,27949,Beauty,1191.17,0.0,COD,108,8,2,289.7,7,0,5.0,1
74,77159,Apparel,442.72,31.3,COD,255,6,3,208.9,5,0,,1
75,86648,Apparel,1546.71,10.3,Prepaid_UPI,475,14,2,250.9,5,1,5.0,0
76,63669,Apparel,2489.12,2.9,Prepaid_Card,53,0,0,188.0,5,0,5.0,0
77,18470,Apparel,1274.25,31.5,Prepaid_Card,413,7,1,334.0,6,1,1.0,1
78,23134,Home,14855.12,27.8,COD,592,9,3,46.7,4,1,1.0,1
79,27463,Home,2330.27,23.3,COD,6,0,0,96.4,2,1,3.0,0
80,18126,Footwear,2658.5,50.7,Prepaid_UPI,242,7,3,192.2,6,1,1.0,1
81,12167,Home,13578.49,28.9,COD,482,11,1,236.9,4,1,2.0,0
82,11525,Electronics,43958.08,11.0,COD,84,7,5,453.1,5,1,4.0,1
83,52536,Footwear,2279.75,27.3,Prepaid_Card,1754,45,1,377.4,6,0,4.0,1
84,54391,Apparel,1809.01,16.0,COD,44,0,0,77.7,2,0,5.0,0
85,41793,Apparel,2255.24,37.7,COD,19,0,0,253.4,3,0,1.0,0
86,34436,Apparel,1998.79,23.9,Prepaid_UPI,1342,33,8,231.7,2,1,3.0,0
87,23939,Footwear,3956.62,25.3,Prepaid_Card,70,5,0,63.9,4,1,5.0,0
88,25266,Electronics,8476.21,0.0,COD,924,21,3,289.4,7,1,4.0,0
89,51166,Apparel,506.96,20.9,COD,326,9,1,257.6,4,0,5.0,0
90,33264,Home,9412.02,19.2,Prepaid_UPI,213,6,0,382.0,7,0,3.0,0
91,58056,Apparel,1425.59,5.7,COD,1445,29,13,239.1,5,0,3.0,1
92,96854,Footwear,1809.2,16.9,COD,848,15,1,133.7,3,0,3.0,1
93,97952,Electronics,15345.72,26.1,Prepaid_Card,495,10,2,238.9,3,1,5.0,0
94,29950,Electronics,20212.27,19.9,Prepaid_Card,178,3,1,100.4,8,1,5.0,0
